Generation,Exact_Match,F1_Score,BERTScore_F1,Semantic_Similarity
0,1.0,0.0,0.8424683809280396,0.0
1,1.0,0.0,0.8424683809280396,0.0
2,1.0,0.0,0.8424683809280396,0.0
